Title,Content,URL,Program
Benefits Administration Manual,"Benefits Administration Manual
Alternate Retirement Program (ARP)
Annual Leave Program
Basic Group Term Life Insurance
Benefits Checklist in the Event of Death
Common Carrier Travel and Accident Insurance
Consolidated Benefits (CoBen)
Consolidated Omnibus Budget Reconciliation Act
Deduction Codes
Dental Program
Dependent Re-Verification
Employee Assistance Program (EAP)
Excluded Employee Leave Buy Back Program
Family and Medical Leave Act of 1993
FlexElect Program
General Information
Group Legal Services Plan
Health Benefits Administration
Long-Term Care
Long-Term Disability
Merit Award Program
Open Enrollment Toolkit
Partial Service Retirement
Part-time Seasonal and Temporary (PST) Program
Pre-Tax Parking Program
Savings Plus
Statewide Engagement Program (Coming Soon!)
Vision Care Program
Workers’ Compensation",https://calhr.benefitsprograms.info/state-hr-professionals/benefits-administration-manual/,Benefits Administration Manual
Benefits Administration Training,"Taught by CalHR and CalPERS staff, the Benefits Administration Training is intended for new personnel staff only to learn:

How to reference the Benefits Administration Manual and other materials.
How to fill out forms correctly and code them into the system.
About the rules, regulations, and procedures of processing benefit enrollment and changes.
If your department has specific training needs, we want to hear from you. Please​ email us at BAMTraining@calhr.ca.gov.

Register
CalLearns

Contact

BAMTraining@calhr.ca.gov

California Department of Human Resources
1515 S Street, North Building, Suite 400
Sacramento, California 95811-7258",https://calhr.benefitsprograms.info/state-hr-professionals/benefits-administration-manual/,Benefits Administration Manual
Basic Group Term Life Insurance,"801. General Information
The Basic Group Term Life Insurance Program is a state-paid benefit provided for managerial, supervisory, confidential, and other specified, excluded employees.

Eligible employees may apply for supplemental coverage for themselves as well as dependent coverage for their spouse, registered domestic partner and/or eligible children.

The current carrier for this state-paid benefit is Metropolitan Life Insurance Company (MetLife). MetLife can be reached at (800) 252-8524.

Authority
Government Code section 19849.11",https://calhr.benefitsprograms.info/state-hr-professionals/benefits-administration-manual/basic-group-term-life-insurance/,Benefits Administration Manual
Basic Group Term Life Insurance,"802. Eligibility
Employees must work half-time or more with one of the following designations:

Permanent, CEA, limited-term of six months and over, or TAU in lieu of permanent appointment if CBID is:

Managerial
Supervisory
Confidential
E48, E50, E58, E59, E68, E78, E79, E88, E89, E92, E97, E98 or E99
E90 in class codes 2545, 4189, 4232, 5309, 5316, 5319 and 5695 or
E91 in class codes 5987, 5988, 5991 or
Employees moved to E01 through E21, E67 or E77 due to middle management reductions or
Permanent-intermittent employees who meet the above requirements.
The judicial council is responsible for auditing and determining temporary employee’s eligibility before submitting the STD. 698, Life Insurance Enrollment Authorization form to the State Controller’s Office (SCO).",https://calhr.benefitsprograms.info/state-hr-professionals/benefits-administration-manual/basic-group-term-life-insurance/,Benefits Administration Manual
Basic Group Term Life Insurance,"803. Level of Coverage
The amount of coverage is based on the employee’s eligibility as stated in Section 802.

Also, listed below is the coverage amount and employer contribution reduced at age 70.

Deduction Org Code: 200 – 003

CBID: Supervisors, confidential, E48, E58, E67***, E68, E78**, E97, E98, and supervisors moved to E01 through E21***

Benefit Amount

Premium Rate

Admin Fee

Total Employer Contribution

$25,000 policy	$4.63	$0.50	$5.13
$12,500 policy at age 70	$2.31	$0.50	$2.81
Deduction Org. Code: 200 – 003

CBID: Managers, E50, E59, E77*** E79, E88, E89, E90*, E91, E92, E99

Benefit Amount

Premium Rate

Admin Fee

Total Employer Contribution

$50,000 policy	$9.25	$0.50	$9.75
$25,000 policy at age 70	$4.63	$0.50	$5.13
Deduction Org. Code: 200 – 004

CBID: Managers moved to E01 through E21***

Benefit Amount

Premium Rate

Admin Fee

Total Employer Contribution

$50,000 policy

$9.25

$0.50

$9.75

$25,000 policy at age 70

$4.63

$0.50

$5.13

Deduction Org. Code: 200 – 005

CBID: Judicial council staff and judges

Benefit Amount

Premium Rate

Admin Fee

Total Employer Contribution

$50,000 policy

$9.25

$0.50

$9.75

$25,000 policy at age 70

$4.63

$0.50

$5.13

 

* Only in certain class codes as listed under “Eligibility.”

** Employees moved to E58 or E78 due to mid-management reductions retain the $50,000 management coverage; however, future incumbents receive the $25,000 supervisory level.

*** Employees moved to E01 through E21, E67, or E77 due to mid-management reductions retain their level of coverage prior to the re-designation; however, future incumbents are designated represented and are not eligible for this benefit.",https://calhr.benefitsprograms.info/state-hr-professionals/benefits-administration-manual/basic-group-term-life-insurance/,Benefits Administration Manual
Basic Group Term Life Insurance,"804. Enrollment
Enrollment in the Basic Group Term Life Insurance Program is automatic. Once the departmental personnel office completes the PAR transaction for the eligible employee a deduction for this benefit will be established.

If the PAR transaction is processed by the tenth of the month, the enrollment will be effective on the first of the following month.

If an eligible employee passes away prior to the PAR transaction being processed, the actual appointment date is the effective date of coverage. The employee must have been actively at work on the effective date to provide survivor benefits.

Once the deduction code is established, MetLife will mail a packet of information to each newly enrolled employee. Each packet will contain a certificate of coverage, current policy, a supplemental life insurance pamphlet, and an application for supplemental life insurance as an option.

If eligible employees elect to waive state-paid basic life Insurance benefits, the employee must complete a Life Insurance Enrollment Authorization, Standard form 698, to cancel the basic life insurance coverage. The standard form 698 must be submitted by the department personnel office, who then will forward to the SCO, Miscellaneous Deductions Unit.",https://calhr.benefitsprograms.info/state-hr-professionals/benefits-administration-manual/basic-group-term-life-insurance/,Benefits Administration Manual
Basic Group Term Life Insurance,"805. Supplemental Coverage
Employees enrolled in the state-paid basic life insurance may apply for supplemental coverage at any time.

Employees may elect coverage amounts in increments of $10,000 up to eight times their basic annual earnings, not to exceed $750,000 or eight times their basic annual earnings, whichever is less. The monthly premium is based on the employee’s age and the adjusted annually on January 1 of each contract year.

Employees can also purchase dependent coverage for their spouse or registered domestic partner and dependent child(ren) up to age 23 at any time, in the following amounts at a flat monthly rate based on the employee’s age.

Spouse/Domestic Partner	Child(ren) Coverage	Employee Age <65	Employee Age >65	Admin Fee
$7,500	$7,500	$1.85	$7.25	$0.50
$15,000	$7,500	$3.71	$14.51	$0.50
$25,000	$7,500	$12.35	$48.35	$0.50
Eligible dependent child(ren) from birth to six months is insured for $750.00.

Employees interested in purchasing supplemental coverage should contact MetLife at (800) 252-8524 for an informational brochure and to request an “Application for Group Supplemental Life and AD&D benefits” form. The completed and signed application must be returned to MetLife for processing.

If MetLife approves the employee’s request for supplemental coverage, the premium information will be forwarded to SCO to initiate the payroll deduction.

Coverage begins on the first day of the month immediately following the month in which the first deduction is made, provided the employee was actively at work on the effective date. Otherwise, it will be effective on the date the employee returns to work.

Cancellation of Supplemental Coverage
Employees may cancel their supplemental coverage at any time by submitting a written request to:

MetLife Insurance Company
425 Market Street, Suite 970 San Francisco, CA 94105, Attention: State of California Policy Administrator (Policy No. 74503).

The request must include the employee’s name, Social Security number, and deduction code 075-107. Once MetLife has processed the request, a form will be sent to SCO authorizing cancellation of the monthly premium deduction. If the form is received by SCO by the tenth of the month, the cancellation will be effective the first of the following month.",https://calhr.benefitsprograms.info/state-hr-professionals/benefits-administration-manual/basic-group-term-life-insurance/,Benefits Administration Manual
Basic Group Term Life Insurance,"806. Accelerated Benefit Option
The Accelerated Benefit Option (ABO) allows an employee to receive partial payment of the basic and supplemental insurance benefit prior to death. To qualify for the benefit, the employee must suffer from a terminal illness. Terminal illness is defined as a sickness or injury, which is expected to result in the employee’s death within six months. It must be verified by a physician’s statement on the claim form. The ABO allows the employee to select payment up to 80 percent of the face amount of the policy with a service charge of four percent of the amount paid.

Eligible employees should contact MetLife at (800) 252-8524 to obtain detailed information and the ABO Claim form. The ABO applies to both the basic life insurance and supplemental life insurance for active and retired employees. The minimum amount payable on the basic life insurance is $10,000. A claimant must have a minimum of $20,000 supplemental coverage before an ABO claim.",https://calhr.benefitsprograms.info/state-hr-professionals/benefits-administration-manual/basic-group-term-life-insurance/,Benefits Administration Manual
Basic Group Term Life Insurance,"807. Assignment of Group Term Life Insurance
An eligible employee may be able to assign their basic life and accidental death and dismemberment insurance. All state laws permit assignments of basic life insurance. Generally, the basic life insurance specifically permits absolute assignments by gift and, in some cases, absolute assignment to viatical settlement providers for viatical purposes. An assignment, other than a gift or viatical, such as a collateral assignment to obtain a bank loan, is not generally permitted by the basic life insurance.

If an employee wishes to pursue the assignment of the basic life insurance, an employee must contact MetLife at (800) 252-8524 for additional information.",https://calhr.benefitsprograms.info/state-hr-professionals/benefits-administration-manual/basic-group-term-life-insurance/,Benefits Administration Manual
Basic Group Term Life Insurance,"808. Beneficiary Designation
Benefits payable under this program will be paid to the standard order of beneficiary if one is on file with Metlife.

If there is no beneficiary designated or surviving beneficiary at the employee’s death, MetLife will determine the beneficiary according to the following order:

Employee’s spouse or domestic partner, if alive;
Employee’s child(ren), * if there is no surviving spouse or domestic partner;
Employee’s parent(s), if there is no surviving child*;
Employee’s estate, if there is no surviving parent.
Benefits will be paid equally among surviving children or surviving parents. Family status changes, such as divorce and remarriage are automatically adjusted, provided an employee has not designated a beneficiary other than the above.

Employees who wish to designate a beneficiary other than the standard order stated above must request a beneficiary form from Metlife. The employee must return the completed form to Metlife. Upon receipt of the completed form, Metlife will record and retain the original in the employee’s file. A signed copy will be returned to the employee for his/her records. This designation will not change with marriage, divorce, or any other family status changes. Therefore, employees must complete a new designation form if their family status change alters their desired choice of beneficiaries. California Public Employees’ Retirement System (CalPERS) and departmental beneficiary designations do not apply to this coverage.

*Adopted children are considered children under the standard definition. As long as they are legally adopted; this would not include just guardianship.

How to submit the beneficiary form:

Mail:

Metlife Recordkeeping & Enrollment Services P.O Box 14402

Lexington, KY 40512-4402

Fax:

(859) 825-6719",https://calhr.benefitsprograms.info/state-hr-professionals/benefits-administration-manual/basic-group-term-life-insurance/,Benefits Administration Manual
Basic Group Term Life Insurance,"809. Reporting a Death
Departmental personnel offices are responsible for immediately reporting the death of a covered employee to MetLife Insurance Company at (800) 252-8524.

The person reporting the death must have the following information available:

Employee name
CBID
Social Security number
Date of birth
Date of death
Last day physically worked
Marital or registered domestic partner status
Cause of death (if known) Names, addresses and phone numbers of next of kin on file, along with the name, department and phone number of the person reporting the death.
Claim number will always be policy no. 74503
The employee is responsible for reporting the death of a covered spouse, registered domestic partner or dependent(s) directly to MetLife.",https://calhr.benefitsprograms.info/state-hr-professionals/benefits-administration-manual/basic-group-term-life-insurance/,Benefits Administration Manual
